,State,County,CensusTract,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,LowIncomeTracts,LILATracts_1And10,LALOWI1_10,TractSNAP,TractHUNV,lapop1,lapop10,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractHispanic,PctHUNV,PctKids,PctSeniors,PctWhite,PctBlack,PctAsian,PctHispanic,is_food_desert
0,Alabama,Autauga County,1001020100,54571,20221,16.130785907235076,69337.5,5,5,7105.688802947692,2692.0,1191.0,37424.1087775454,5118.92959741254,14613.0,6546.0,42855.0,9643.0,474.0,1310.0,5.889916423520103,26.777958989206724,11.995382162687141,78.53072144545638,17.67055762218028,0.8685932088471898,2.4005424126367485,1
1,Alabama,Baldwin County,1003010100,182265,73180,11.845545629718739,72665.74193548386,7,4,14465.970896781339,5926.0,2705.0,132441.2347267729,2308.188088798432,41898.0,30568.0,156153.0,17105.0,1348.0,7992.0,3.6963651270839026,22.987408443749484,16.771184813321263,85.67360711052588,9.384687131374648,0.7395824760650701,4.384824294296766,1
2,Alabama,Barbour County,1005950100,27457,9820,29.299324840153663,44792.444444444445,8,4,2864.6359459042887,2516.0,849.0,19005.93237058091,4641.878770967425,6015.0,3909.0,13180.0,12875.0,107.0,1387.0,8.64562118126273,21.906981826128128,14.236806643114688,48.002330917434534,46.891503077539426,0.3897002585861529,5.05153512765415,1
3,Alabama,Bibb County,1007010001,22915,7953,12.193524390786429,60645.5,1,0,102.17024277645078,849.0,410.0,17559.93492420131,365.1406630169328,5201.0,2906.0,17381.0,5047.0,22.0,406.0,5.155287312963662,22.696923412611827,12.68164957451451,75.84987999127209,22.024874536329914,0.09600698232598735,1.7717652192886755,0
4,Alabama,Blount County,1009050101,57322,21578,14.850747583057581,60437.666666666664,3,0,1440.04673370409,1966.0,856.0,50848.32063236701,0.0,14106.0,8439.0,53068.0,761.0,117.0,4626.0,3.9670034294188525,24.608352813928335,14.722096228324203,92.57876556993824,1.3275880115836851,0.2041101147901329,8.070199923240642,0
5,Alabama,Bullock County,1011952100,10914,3745,30.653262473074317,39524.666666666664,2,2,3529.499238879079,936.0,423.0,8709.26563693553,2585.207774657785,2430.0,1469.0,2507.0,7666.0,20.0,777.0,11.295060080106808,22.264980758658602,13.459776433938062,22.9704966098589,70.24005864027855,0.1832508704416346,7.119296316657504,1
6,Alabama,Butler County,1013952700,20947,8491,22.825132221992845,50170.666666666664,7,3,1449.1735661199737,1248.0,520.0,13061.12825039452,1334.6997548888182,5056.0,3489.0,11399.0,9095.0,177.0,191.0,6.124131433282299,24.137107939084355,16.65632310116007,54.418293789086746,43.41910536114957,0.844989736000382,0.9118250823506946,1
7,Alabama,Calhoun County,1015000200,118572,47331,21.28329549002292,51564.26666666667,15,12,18257.803111903395,8042.0,2599.0,73008.44950974412,0.0,27126.0,16990.0,88840.0,24382.0,845.0,3893.0,5.491115759227568,22.877239145835443,14.328846607968154,74.9249401207705,20.563033431164186,0.7126471679654556,3.283237189218365,1
8,Alabama,Chambers County,1017953800,34215,13933,18.00353310996311,52413.444444444445,4,3,2772.4374986104312,1985.0,989.0,21764.81237232076,679.69180301034,7703.0,5706.0,20112.0,13257.0,168.0,536.0,7.0982559391373,22.51351746310098,16.676896098202544,58.781236299868475,38.74616396317405,0.49101271372205174,1.5665643723513079,1
9,Alabama,Cherokee County,1019955701,25989,10626,15.64253818021094,51754.666666666664,2,0,1301.698633645024,1682.0,435.0,24078.160437219918,90.9327309997753,5566.0,4651.0,24081.0,1208.0,54.0,320.0,4.09373235460192,21.41675324175613,17.896032937011814,92.6584324137135,4.64812035861326,0.20778021470622185,1.2312901612220555,0
10,Alabama,Chilton County,1021060101,43643,16558,17.910983901832434,56950.88888888889,6,1,1907.0033657999563,3047.0,823.0,36902.81877799556,473.1108947342729,10960.0,5921.0,36713.0,4230.0,130.0,3420.0,4.9704070539920275,25.11284742112137,13.566895034713472,84.12116490617052,9.692275966363448,0.2978713653965126,7.83630822812364,1
11,Alabama,Choctaw County,1023956700,13859,5866,23.06677672237575,48448.5,3,2,1807.8061339396554,1321.0,542.0,12326.2435353281,3372.20613463109,3141.0,2519.0,7731.0,6012.0,12.0,73.0,9.239686327991818,22.663972869615414,18.17591456815066,55.78324554441158,43.3797532289487,0.08658633379031676,0.5267335305577603,1
12,Alabama,Clarke County,1025957500,25833,10337,27.713936619552033,49746.555555555555,8,5,4740.444249058556,1829.0,957.0,20450.97630456545,3717.5408303957997,6389.0,4174.0,14070.0,11336.0,77.0,271.0,9.258005223952791,24.731932024929353,16.157627840359233,54.4652189060504,43.88185654008439,0.2980683621724151,1.0490457941392792,1
13,Alabama,Clay County,1027958900,13932,5670,19.84000278610565,48673.0,2,0,414.4237568765898,820.0,218.0,10577.16243310902,978.4654011890619,3144.0,2449.0,11380.0,2066.0,24.0,399.0,3.8447971781305115,22.566752799310937,17.578237151880565,81.68245765144991,14.829170255526844,0.17226528854435832,2.863910422049957,0
14,Alabama,Cleburne County,1029959500,14972,5891,18.929785812037853,52674.0,2,0,303.1608309181115,874.0,231.0,12458.68349675677,891.4576464710483,3551.0,2361.0,14079.0,498.0,23.0,307.0,3.9212357833984046,23.71760619823671,15.769436281057974,94.03553299492386,3.326208923323537,0.15362009083622763,2.0504942559444297,0
15,Alabama,Coffee County,1031010100,49948,19849,16.811957273340777,60938.71428571428,6,2,4491.271715627619,2532.0,1189.0,33573.35605075391,2436.7721470522565,12084.0,7210.0,37330.0,8359.0,644.0,3180.0,5.990226207869414,24.193160887322815,14.435012412909426,74.73772723632578,16.735404821013855,1.2893409145511332,6.366621286137583,1
16,Alabama,Colbert County,1033020100,54428,22773,17.673187966950046,55345.71428571428,5,2,4805.613205351738,2601.0,1322.0,36249.200564107756,1012.2811439955417,12034.0,9463.0,43789.0,8768.0,229.0,1093.0,5.805120098362095,22.109943411479385,17.386271771882118,80.45307562284118,16.109355478797678,0.4207393253472478,2.0081575659586974,1
17,Alabama,Conecuh County,1035960200,13228,5625,22.00953034576034,41969.6,4,3,1757.865313411483,813.0,309.0,10139.296742481585,3486.381866865452,3042.0,2362.0,6788.0,6149.0,17.0,161.0,5.493333333333333,22.996673722407017,17.856062896885394,51.315391593589354,46.48472936195948,0.12851527063804052,1.2171152101602662,1
18,Alabama,Coosa County,1037961000,11539,4794,14.026414044241776,46510.666666666664,2,1,890.4899276486076,422.0,182.0,10351.277422955709,2606.285470482222,2370.0,1970.0,7648.0,3582.0,16.0,230.0,3.796412181894034,20.539041511396135,17.07253661495797,66.27957361989773,31.04255134760378,0.13866019585752665,1.9932403154519454,1
19,Alabama,Covington County,1039961600,37765,15531,19.698641801183744,54289.92857142857,8,3,2069.7051468913196,2155.0,785.0,26573.25702552992,2939.4000534373845,8523.0,6939.0,32022.0,4716.0,155.0,483.0,5.054407314403451,22.56851582152787,18.37415596451741,84.7927975638819,12.487753210644776,0.41043294055342244,1.2789620018535681,1
20,Alabama,Crenshaw County,1041963400,13906,5652,16.147350870681368,54212.166666666664,3,2,1878.1698725183,938.0,332.0,10815.5920863063,4100.535388771438,3308.0,2210.0,10097.0,3254.0,189.0,204.0,5.874026893135174,23.788292823241765,15.892420537897312,72.60894577880052,23.399971235437942,1.35912555731339,1.466992665036675,1
21,Alabama,Cullman County,1043964100,80406,31864,15.988238179193091,53786.27777777778,5,1,2286.541018428621,3677.0,1279.0,64666.034954506526,1075.1888460022506,18641.0,12810.0,76133.0,856.0,343.0,3454.0,4.013934220436856,23.183593264184267,15.931646892022982,94.68571997114643,1.06459716936547,0.42658508071536955,4.2956993259209515,1
22,Alabama,Dale County,1045020000,50251,20065,18.059160916124522,56551.71428571428,4,1,4419.827767129017,3582.0,1023.0,40563.479747282196,676.5279905277713,12477.0,6759.0,37236.0,9679.0,534.0,2821.0,5.098430102167955,24.829356629718813,13.450478597440846,74.10001791009134,19.261308232671986,1.06266541959364,5.6138186304750155,1
23,Alabama,Dallas County,1047956100,43820,17064,31.236418499259784,42692.8,12,4,3841.756279413269,5071.0,2205.0,23921.38829162738,4232.449241453347,11595.0,6165.0,12769.0,30423.0,149.0,309.0,12.921940928270043,26.460520310360565,14.06891830214514,29.13966225467823,69.42720219078046,0.3400273847558193,0.7051574623459608,1
24,Alabama,DeKalb County,1049960100,71109,26842,21.048402699252534,48581.28571428572,10,0,0.0,4953.0,1391.0,57694.00259743308,0.0,18366.0,9875.0,60087.0,1078.0,203.0,9690.0,5.182177185008569,25.82795426739231,13.887131024202281,84.49985233936633,1.5159825057306389,0.2854772251051203,13.626967050584316,0
25,Alabama,Elmore County,1051030100,79303,28301,12.693583670532197,71181.26666666666,4,1,3952.6562838293466,3711.0,1364.0,65450.005947310674,22.8478772831295,18707.0,9436.0,60455.0,15900.0,518.0,2129.0,4.819617681354016,23.58927152818935,11.8986671374349,76.23292939737463,20.049682861934606,0.653190925942272,2.6846399253496087,1
26,Alabama,Escambia County,1053969800,38319,14157,25.741979872597433,44413.88888888889,7,3,2175.196723332503,2270.0,657.0,26460.731671223017,2125.991350128727,8679.0,5812.0,23784.0,12220.0,92.0,718.0,4.640813731722822,22.64933844828936,15.167410423027741,62.068425585218826,31.890185025705264,0.24008977269761736,1.8737440956183615,1
